image_name,object_id,x_center,y_center,width,height,image_area,area,mass
IMG_20231129_123656,2.0,0.17265625,0.06953125,0.08828125,0.08515625,2400,530.929158456675,3
IMG_20231129_123656,7.0,0.53046875,0.21328125,0.3984375,0.346875,37651,8329.17239377178,4
IMG_20231129_123656,1.0,0.40703125,0.6375,0.38984375,0.3484375,37723,8345.10026852548,1
IMG_20231129_123656,11.0,0.7140625,0.4625,0.2046875,0.19140625,11401,2522.1347231518967,2
IMG_20231129_123732,2.0,0.16484375,0.071875,0.09296875,0.08984375,2533,530.929158456675,3
IMG_20231129_123732,7.0,0.47109375,0.2796875,0.4046875,0.3234375,37906,7945.282542620894,4
IMG_20231129_123732,1.0,0.390625,0.65078125,0.39140625,0.378125,42350,8876.766624808603,1
IMG_20231129_123732,11.0,0.75703125,0.5296875,0.16640625,0.2265625,11629,2437.4951376599583,2
IMG_20231129_123808,7.0,0.465625,0.24296875,0.328125,0.41015625,38431,7781.898737089427,4
IMG_20231129_123808,1.0,0.37265625,0.6328125,0.421875,0.371875,40942,8290.35148952448,1
IMG_20231129_123808,11.0,0.7328125,0.53515625,0.16171875,0.2296875,11569,2342.6084798570837,2
IMG_20231129_123808,2.0,0.1375,0.88046875,0.08828125,0.09140625,2622,530.929158456675,3
IMG_20231130_123808,2.0,0.1375,0.88046875,0.08828125,0.09140625,2622,530.929158456675,9
