image_name,object_id,x_center,y_center,width,height,image_area,area,mass
20231103_115922,7.0,0.134765625,0.87109375,0.236328125,0.96875,3302,,
20231103_115922,11.0,0.23828125,0.453125,0.5546875,0.638671875,16449,,
20231103_115922,4.0,0.5078125,0.083984375,0.845703125,0.5,33923,,
20231106_115308,24.0,0.048828125,0.265625,0.380859375,0.671875,36825,,
20231106_115308,15.0,0.416015625,0.375,0.775390625,0.935546875,54724,,
20231106_115308,7.0,0.814453125,0.10546875,0.90234375,0.18359375,2283,,
20231106_120208,15.0,0.25,0.0859375,0.693359375,0.40625,39757,,
20231106_120208,8.0,0.328125,0.451171875,0.669921875,0.68359375,23529,,
20231106_120208,24.0,0.705078125,0.22265625,0.943359375,0.5625,21646,,
20231106_120208,7.0,0.50390625,0.884765625,0.591796875,0.982421875,2836,,
20231106_120228,15.0,0.224609375,0.142578125,0.662109375,0.435546875,35128,,
20231106_120228,8.0,0.322265625,0.470703125,0.669921875,0.681640625,23733,,
20231106_120228,24.0,0.7109375,0.18359375,0.96484375,0.52734375,24635,,
20231106_120228,7.0,0.02734375,0.71484375,0.123046875,0.810546875,3026,,
20231106_120250,7.0,0.037109375,0.033203125,0.14453125,0.12890625,3358,,
20231106_120250,15.0,0.154296875,0.146484375,0.6796875,0.515625,53117,,
20231106_120250,8.0,0.283203125,0.564453125,0.6796875,0.818359375,31780,,
20231106_120250,24.0,0.720703125,0.248046875,1.0,0.638671875,29823,,
20231106_120302,15.0,0.103515625,0.154296875,0.55078125,0.4609375,39242,,
20231106_120302,24.0,0.568359375,0.26171875,0.830078125,0.634765625,25877,,
20231106_120302,8.0,0.1484375,0.501953125,0.51171875,0.74609375,24141,,
20231106_120302,7.0,0.8984375,0.322265625,0.986328125,0.40625,2455,,
20231106_121856,24.0,0.150390625,0.1328125,0.40234375,0.390625,18252,,
20231106_121856,8.0,0.484375,0.12890625,0.650390625,0.294921875,9807,,
20231106_121856,15.0,0.26171875,0.384765625,0.630859375,0.69921875,33837,,
20231106_121856,7.0,0.46875,0.8671875,0.576171875,0.982421875,4082,,
20231106_122035,24.0,0.224609375,0.134765625,0.552734375,0.404296875,19007,,
20231106_122035,15.0,0.103515625,0.439453125,0.486328125,0.765625,31554,,
20231106_122035,8.0,0.54296875,0.3359375,0.771484375,0.54296875,11785,,
20231106_122035,7.0,0.890625,0.392578125,0.970703125,0.4765625,2232,,
20231106_122044,8.0,0.26171875,0.44921875,0.525390625,0.689453125,15474,,
20231106_122044,7.0,0.041015625,0.78125,0.15234375,0.890625,3991,,
20231106_122044,24.0,0.53125,0.576171875,0.89453125,0.8828125,23440,,
20231106_122044,15.0,0.568359375,0.20703125,0.947265625,0.5390625,31892,,
20231113_131623,7.0,0.09375,0.09765625,0.9421875,0.45390625,544,,
20231113_131623,11.0,0.23046875,0.61328125,0.609375,0.79296875,19401,,
20231113_131623,21.0,0.580078125,0.298828125,0.78515625,0.619140625,17471,,
20231113_131623,23.0,0.10546875,0.17578125,0.431640625,0.521484375,27165,,
20231113_131623,7.0,0.3203125,0.0,0.365234375,0.0546875,940,,
20231113_135217,11.0,0.5390625,0.234375,0.7265625,0.462890625,11327,,
20231113_135217,23.0,0.1328125,0.32421875,0.283203125,0.501953125,6271,,
20231113_135217,23.0,0.09375,0.361328125,0.400390625,0.61328125,13501,,
20231113_135217,23.0,0.421875,0.896484375,0.51171875,0.9921875,2870,,
20231114_122619,35.0,0.3359375,0.607421875,0.65234375,0.958984375,28938,,
20231114_122619,2.0,0.658203125,0.427734375,0.80078125,0.724609375,11638,,
20231114_122619,21.0,0.021484375,0.193359375,0.412109375,0.666015625,41243,,
20231114_122619,16.0,0.41796875,0.1328125,0.7265625,0.421875,24802,,
20231114_122619,7.0,0.2734375,0.013671875,0.35546875,0.0859375,2023,,
20231114_122627,7.0,0.71484375,0.044921875,0.796875,0.115234375,1946,,
20231114_122627,2.0,0.177734375,0.54296875,0.4296875,0.76171875,11628,,
20231114_122627,35.0,0.091796875,0.255859375,0.41015625,0.478515625,20501,,
20231114_122627,16.0,0.4921875,0.47265625,0.861328125,0.755859375,29072,,
20231114_122627,21.0,0.419921875,0.06640625,0.837890625,0.40625,34140,,
20231114_122627,7.0,0.689453125,0.66796875,0.69140625,0.671875,6,,
20231114_122627,7.0,0.494140625,0.47265625,0.861328125,0.755859375,29005,,
20231114_122632,2.0,0.154296875,0.255859375,0.328125,0.521484375,10331,,
20231114_122632,35.0,0.359375,0.0859375,0.626953125,0.369140625,18707,,
20231114_122632,16.0,0.1796875,0.548828125,0.501953125,0.890625,30882,,
20231114_122632,21.0,0.5390625,0.3359375,0.94921875,0.818359375,45683,,
20231114_122632,7.0,0.724609375,0.037109375,0.80859375,0.107421875,1952,,
20231114_124913,7.0,0.099609375,0.02734375,0.18359375,0.1015625,2069,,
20231114_124913,16.0,0.29296875,0.20703125,0.53125,0.396484375,9846,,
20231114_124913,35.0,0.5078125,0.53515625,0.697265625,0.736328125,11266,,
20231114_124913,2.0,0.59765625,0.3046875,0.845703125,0.509765625,10701,,
20231114_124913,8.0,0.13671875,0.423828125,0.439453125,0.7734375,22386,,
20231114_125141,7.0,0.10390625,0.1078125,0.56796875,0.9015625,509,,
20231114_125141,2.0,0.185546875,0.2578125,0.287109375,0.533203125,8928,,
20231114_125141,35.0,0.326171875,0.130859375,0.51953125,0.2734375,8531,,
20231114_125141,16.0,0.330078125,0.533203125,0.564453125,0.689453125,10714,,
20231114_125141,8.0,0.578125,0.2421875,0.763671875,0.552734375,17753,,
20231114_125357,8.0,0.111328125,0.4140625,0.345703125,0.783203125,22814,,
20231114_125357,16.0,0.27734375,0.25390625,0.576171875,0.384765625,11307,,
20231114_125357,35.0,0.419921875,0.701171875,0.650390625,0.869140625,10818,,
20231114_125357,2.0,0.560546875,0.37890625,0.74609375,0.638671875,10590,,
20231114_125357,7.0,0.396484375,0.0078125,0.48046875,0.0859375,2181,,
20231116_174857,16.0,0.2578125,0.125,0.5078125,0.37109375,15313,,
20231116_174857,2.0,0.2421875,0.47265625,0.373046875,0.703125,7682,,
20231116_174857,2.0,0.349609375,0.4375,0.5078125,0.67578125,9130,,
20231116_174857,15.0,0.537109375,0.146484375,0.830078125,0.607421875,33898,,
20231116_174857,7.0,0.529296875,0.890625,0.615234375,0.984375,2698,,
20231116_175059,7.0,0.048828125,0.64453125,0.134765625,0.732421875,2499,,
20231116_175059,2.0,0.263671875,0.181640625,0.513671875,0.37890625,15379,,
20231116_175059,16.0,0.595703125,0.203125,0.90625,0.4765625,20025,,
20231116_175059,15.0,0.20703125,0.484375,0.744140625,0.771484375,41572,,
20231116_175235,7.0,0.865234375,0.08203125,0.94140625,0.150390625,1775,,
20231116_175235,15.0,0.12109375,0.177734375,0.427734375,0.66015625,37093,,
20231116_175235,16.0,0.408203125,0.541015625,0.716796875,0.880859375,24716,,
20231116_181940,7.0,0.1875,0.021484375,0.283203125,0.11328125,2866,,
20231116_181940,15.0,0.203125,0.123046875,0.599609375,0.64453125,46908,,
20231116_181940,16.0,0.3359375,0.681640625,0.62109375,0.841796875,11105,,
20231116_181940,2.0,0.658203125,0.404296875,0.822265625,0.66015625,11306,,
20231116_182008,7.0,0.03125,0.189453125,0.130859375,0.283203125,3103,,
20231116_182008,2.0,0.251953125,0.51953125,0.486328125,0.734375,13453,,
20231116_182008,16.0,0.326171875,0.197265625,0.59765625,0.359375,12094,,
20231116_182008,15.0,0.603515625,0.27734375,0.87109375,0.83984375,40140,,
20231117_120854,7.0,0.1796875,0.015625,0.2734375,0.107421875,2799,,
20231117_120854,16.0,0.201171875,0.498046875,0.498046875,0.869140625,27722,,
20231117_120854,18.0,0.6328125,0.447265625,0.8671875,0.78515625,18404,,
20231117_120854,15.0,0.24609375,0.095703125,0.744140625,0.416015625,46099,,
20231117_120908,7.0,0.904296875,0.263671875,0.982421875,0.345703125,2095,,
20231117_120908,16.0,0.2890625,0.548828125,0.701171875,0.845703125,26913,,
20231117_120908,15.0,0.08203125,0.130859375,0.48828125,0.5703125,49395,,
20231117_120908,18.0,0.60546875,0.220703125,0.818359375,0.572265625,18336,,
20231117_120937,7.0,0.15234375,0.037109375,0.24609375,0.1328125,2989,,
20231117_120937,18.0,0.35546875,0.158203125,0.71875,0.33984375,21552,,
20231117_120937,16.0,0.5703125,0.4375,0.892578125,0.791015625,27468,,
20231117_120937,15.0,0.1015625,0.369140625,0.466796875,0.875,51930,,
20231117_121009,15.0,0.142578125,0.046875,0.599609375,0.384765625,43530,,
20231117_121009,18.0,0.638671875,0.26171875,0.791015625,0.59375,17188,,
20231117_121009,16.0,0.228515625,0.4765625,0.5703125,0.7734375,23947,,
20231117_121009,7.0,0.732421875,0.8359375,0.810546875,0.91796875,2148,,
20231117_121229,16.0,0.244140625,0.08203125,0.623046875,0.375,26870,,
20231117_121229,18.0,0.658203125,0.3359375,0.8359375,0.693359375,20754,,
