image_name,object_id,x_center,y_center,width,height,image_area,area,mass
20231103_115433,5.0,0.36484375,0.45703125,0.29765625,0.296875,21422,3990.724362266278,
20231103_115433,6.0,0.753125,0.4203125,0.35390625,0.37578125,31175,5807.619829784858,
20231103_115433,2.0,0.8390625,0.93125,0.103125,0.10859375,2850,530.929158456675,
20231103_120221,3.0,0.30234375,0.5765625,0.378125,0.35703125,25991,7407.074480648117,
20231103_120221,6.0,0.63125,0.3359375,0.36171875,0.53046875,34661,9877.904219681595,
20231103_120221,2.0,0.93828125,0.3078125,0.08203125,0.08515625,1863,530.929158456675,
20231103_120341,3.0,0.38125,0.5453125,0.36328125,0.39453125,27957,3517.342768477077,
20231103_120341,6.0,0.740625,0.365625,0.32890625,0.54375,34078,4287.441673432837,
20231103_120341,2.0,0.084375,0.77421875,0.13359375,0.11796875,4220,530.929158456675,
20231103_122808,2.0,0.39765625,0.91328125,0.090625,0.084375,2501,530.929158456675,
20231103_122808,7.0,0.278125,0.3859375,0.35390625,0.32890625,32059,6805.700876034604,
20231103_122808,12.0,0.61875,0.5671875,0.2046875,0.26796875,15044,3193.641847190012,
20231103_122920,2.0,0.05625,0.88359375,0.1125,0.1171875,4021,530.929158456675,
20231103_122920,7.0,0.51015625,0.6734375,0.40546875,0.35546875,39021,5152.29711319023,
20231103_122920,12.0,0.6640625,0.3453125,0.23984375,0.18828125,12697,1676.500254892913,
20231103_123012,12.0,0.340625,0.24921875,0.18515625,0.253125,13754,1856.6996301584309,
20231103_123012,7.0,0.6515625,0.471875,0.396875,0.35234375,38078,5140.279810758523,
20231103_123012,2.0,0.68046875,0.9328125,0.1078125,0.1125,3933,530.929158456675,
20231103_123054,1.0,0.65234375,0.259375,0.29609375,0.346875,24904,4370.994962712408,
20231103_123054,7.0,0.33125,0.4078125,0.4015625,0.3453125,37299,6546.488159099346,
20231103_123054,12.0,0.64140625,0.6875,0.2046875,0.3140625,16887,2963.9010574736767,
20231103_123054,2.0,0.2296875,0.93125,0.10234375,0.09609375,3025,530.929158456675,
20231103_123106,12.0,0.38984375,0.2078125,0.17890625,0.21953125,11539,1171.6181983996123,
20231103_123106,1.0,0.328125,0.57109375,0.29296875,0.33203125,29005,2945.03733812122,
20231103_123106,7.0,0.6921875,0.4171875,0.41484375,0.31875,35576,3612.227145009499,
20231103_123106,2.0,0.8,0.8671875,0.12265625,0.12421875,5229,530.929158456675,
20231103_123133,7.0,0.31875,0.37421875,0.41640625,0.32265625,37265,4242.082995259005,
20231103_123133,1.0,0.64140625,0.2046875,0.29765625,0.2609375,22695,2583.498552996192,
20231103_123133,12.0,0.678125,0.6484375,0.23515625,0.33046875,20299,2310.7484964648474,
20231103_123133,2.0,0.1109375,0.85,0.11875,0.11875,4664,530.929158456675,
20231103_123246,2.0,0.23515625,0.93984375,0.09296875,0.09765625,3002,530.929158456675,
20231103_123246,1.0,0.63984375,0.24375,0.26484375,0.3421875,24707,4369.642477677905,
20231103_123246,7.0,0.33125,0.41328125,0.38515625,0.3375,36467,6449.498208340962,
20231103_123246,11.0,0.778125,0.578125,0.16015625,0.19375,10073,1781.4954740619878,
20231103_123246,4.0,0.525,0.7484375,0.31875,0.29921875,22828,4037.325392821112,
20231103_123346,4.0,0.5359375,0.6640625,0.36015625,0.33203125,28831,2867.057233089417,
20231103_123346,7.0,0.3171875,0.3375,0.4265625,0.3140625,35942,3574.2003770836886,
20231103_123346,2.0,0.2171875,0.92421875,0.13046875,0.13203125,5339,530.929158456675,
20231103_123346,11.0,0.80625,0.47890625,0.1734375,0.20703125,10952,1089.105851923114,
