image_name,food_ID,image_area,volume,mass
20231103_115922_jpg.rf.6d8160ce24b0ca3676222d2014728939,3,33923,230890.63161191228,
20231103_122808_jpg.rf.b30dd9dcfeb682ef992480d2df89a1ba,0,32178,225016.7339994506,
20231103_123054_jpg.rf.4bf66b89a23245c34423dc3b25ddbbac,3,25249,210227.05248521565,
20231103_123054_jpg.rf.4bf66b89a23245c34423dc3b25ddbbac,0,37373,247019.39516437298,
20231103_123246_jpg.rf.38752926c406325e0ba51a7d23d90ebf,0,36593,212435.73349940302,
20231103_123246_jpg.rf.38752926c406325e0ba51a7d23d90ebf,3,24695,186479.42039240242,
20231103_123246_jpg.rf.38752926c406325e0ba51a7d23d90ebf,21,10358,86379.36964661058,
20231103_123246_jpg.rf.38752926c406325e0ba51a7d23d90ebf,7,25311,175635.21419785888,
20231103_123444_jpg.rf.dca2867de26e7fa52ee97c4761614953,2,24419,208068.49001024888,
20231103_123444_jpg.rf.dca2867de26e7fa52ee97c4761614953,3,22909,187656.61278170368,
20231103_123444_jpg.rf.dca2867de26e7fa52ee97c4761614953,0,38116,273653.1548200543,
20231103_123444_jpg.rf.dca2867de26e7fa52ee97c4761614953,21,10528,101144.41651745289,
20231103_123444_jpg.rf.dca2867de26e7fa52ee97c4761614953,7,24235,195865.27531752991,
20231103_123546_jpg.rf.642255b99516d71d780ecb5b88d8590e,2,23241,220075.57309907797,
20231103_123546_jpg.rf.642255b99516d71d780ecb5b88d8590e,19,20923,191712.12499590762,
20231103_123546_jpg.rf.642255b99516d71d780ecb5b88d8590e,0,36859,302751.30009426456,
20231103_123546_jpg.rf.642255b99516d71d780ecb5b88d8590e,21,10240,113557.29807314006,
20231103_123546_jpg.rf.642255b99516d71d780ecb5b88d8590e,7,23719,216790.62760920945,
20231103_124647_jpg.rf.ff045e342618d47ab33e93e6cd2ab458,19,15982,137784.22057794099,
20231103_124647_jpg.rf.ff045e342618d47ab33e93e6cd2ab458,21,7879,78974.70531967828,
20231103_124647_jpg.rf.ff045e342618d47ab33e93e6cd2ab458,7,20230,165543.0834301316,
20231103_124647_jpg.rf.ff045e342618d47ab33e93e6cd2ab458,2,12548,130015.53345406646,
20231103_124647_jpg.rf.ff045e342618d47ab33e93e6cd2ab458,0,17559,139429.8276403811,
20231103_124815_jpg.rf.1761dc8a045acc14b7b2ab3b53d0fefe,2,12087,99309.36410285227,
20231103_124815_jpg.rf.1761dc8a045acc14b7b2ab3b53d0fefe,0,17423,116220.52923155995,
20231103_124815_jpg.rf.1761dc8a045acc14b7b2ab3b53d0fefe,19,15145,88211.8184574067,
20231103_124815_jpg.rf.1761dc8a045acc14b7b2ab3b53d0fefe,3,18672,139666.2432128147,
20231103_124914_jpg.rf.e2b085cacd0a94eb3d48c73603aa87d1,0,17547,105614.98021793508,
20231103_124914_jpg.rf.e2b085cacd0a94eb3d48c73603aa87d1,3,18663,133461.35934516284,
20231103_124957_jpg.rf.e814e4460c14c4a597f3e4ad7bba05f1,0,16803,97084.50815660745,
20231103_124957_jpg.rf.e814e4460c14c4a597f3e4ad7bba05f1,19,16201,83232.54371510941,
20231103_124957_jpg.rf.e814e4460c14c4a597f3e4ad7bba05f1,3,18540,123693.36018565635,
20231103_125103_jpg.rf.807a47887cdf1e48de57a6ec40a5697b,0,16819,102978.53356420872,
20231103_125103_jpg.rf.807a47887cdf1e48de57a6ec40a5697b,21,7537,55517.53529138651,
20231106_114439_jpg.rf.e563cf7ef5378a08c6b2387aa226dd59,18,10903,99317.38693804994,
20231106_114439_jpg.rf.e563cf7ef5378a08c6b2387aa226dd59,0,40424,185050.42468562748,
20231106_114439_jpg.rf.e563cf7ef5378a08c6b2387aa226dd59,3,38388,283070.65200150927,
20231106_114605_jpg.rf.8670353c943a5965d078e40e36221ddb,18,11116,93358.50921364683,
20231106_114605_jpg.rf.8670353c943a5965d078e40e36221ddb,19,17220,103484.29126835322,
20231106_114605_jpg.rf.8670353c943a5965d078e40e36221ddb,0,41786,189736.9313219122,
20231106_114605_jpg.rf.8670353c943a5965d078e40e36221ddb,3,38839,259748.63256065478,
20231106_115308_jpg.rf.1767faa5ab150f7b9999e51e59515919,18,36825,333920.0802736455,
20231106_115308_jpg.rf.1767faa5ab150f7b9999e51e59515919,11,54724,528152.8268640578,
20231106_115600_jpg.rf.f93cf7d6911a550eff09bc064c664829,18,10343,100214.85074876553,
20231106_115600_jpg.rf.f93cf7d6911a550eff09bc064c664829,19,16458,122113.06876321683,
20231106_115600_jpg.rf.f93cf7d6911a550eff09bc064c664829,0,38971,207040.12378799357,
20231106_115657_jpg.rf.ff5fcf783c70dab00fdf2b7e6dd5a36e,18,10874,111693.60086574257,
20231106_115657_jpg.rf.ff5fcf783c70dab00fdf2b7e6dd5a36e,0,39977,282417.06162412395,
20231106_115802_jpg.rf.4beb50a86184dd82a607ebb49684b209,0,40227,224815.8605699702,
20231106_115802_jpg.rf.4beb50a86184dd82a607ebb49684b209,18,10922,93218.67783253889,
20231106_115802_jpg.rf.4beb50a86184dd82a607ebb49684b209,3,39560,294301.1714350682,
20231106_120208_jpg.rf.8fa92f4df40e5fe80ee46a1d280cb076,11,39757,274046.77949157805,
20231106_120208_jpg.rf.8fa92f4df40e5fe80ee46a1d280cb076,5,23529,149291.46178975218,
20231106_120208_jpg.rf.8fa92f4df40e5fe80ee46a1d280cb076,18,21646,168138.37045422327,
20231106_120228_jpg.rf.1d29d8a58fb07570c66dc31e059916c0,11,35128,162523.28659227456,
20231106_120228_jpg.rf.1d29d8a58fb07570c66dc31e059916c0,5,23733,115134.14173090039,
20231106_120228_jpg.rf.1d29d8a58fb07570c66dc31e059916c0,18,24635,153000.4027715935,
20231106_120250_jpg.rf.f6a7956d3a2904dbc8e85a0d3d5dd3a1,11,53117,461234.3898137661,
20231106_120250_jpg.rf.f6a7956d3a2904dbc8e85a0d3d5dd3a1,5,31780,263690.12480744434,
20231106_120250_jpg.rf.f6a7956d3a2904dbc8e85a0d3d5dd3a1,18,29823,302396.5087425801,
20231106_120302_jpg.rf.ffc48e85dae85fc65e3d720451b8b51b,11,39242,324768.12270751584,
20231106_120302_jpg.rf.ffc48e85dae85fc65e3d720451b8b51b,18,25877,266176.57577494805,
20231106_120302_jpg.rf.ffc48e85dae85fc65e3d720451b8b51b,5,24141,201240.27671703222,
20231106_120600_jpg.rf.cbc1a7247ffe6b592134972da291e829,18,9884,93799.57745437523,
20231106_120600_jpg.rf.cbc1a7247ffe6b592134972da291e829,0,20090,115756.08016402295,
20231106_120600_jpg.rf.cbc1a7247ffe6b592134972da291e829,3,31478,233975.7648383407,
20231106_120645_jpg.rf.3d3a5466746bfc9fc897960f46870d21,18,10840,75081.79921306118,
20231106_120645_jpg.rf.3d3a5466746bfc9fc897960f46870d21,0,21593,85131.38509640147,
20231106_120645_jpg.rf.3d3a5466746bfc9fc897960f46870d21,3,34145,178322.8201169746,
20231106_120740_jpg.rf.74d86e0afce060f5cea3ba37c6a11c10,18,11075,88496.83371333123,
20231106_120740_jpg.rf.74d86e0afce060f5cea3ba37c6a11c10,3,32674,194097.54767307255,
20231106_120740_jpg.rf.74d86e0afce060f5cea3ba37c6a11c10,0,19803,95107.95849433275,
20231106_120740_jpg.rf.74d86e0afce060f5cea3ba37c6a11c10,19,7436,43230.05526979475,
20231106_120823_jpg.rf.de1706801c6c91f8badbb8c8a297b5ab,18,11433,89980.21024605099,
20231106_120823_jpg.rf.de1706801c6c91f8badbb8c8a297b5ab,0,20305,94256.87840086028,
20231106_120823_jpg.rf.de1706801c6c91f8badbb8c8a297b5ab,19,7355,42731.80930365048,
