image_name,object_id,x_center,y_center,width,height,image_area,area,mass
20231103_115922,3,0.5078125,0.083984375,0.845703125,0.5,33923,5454.485113,60
20231103_122808,0,0.099609375,0.220703125,0.45703125,0.546875,32178,6825.504779,50
20231103_123054,3,0.51171875,0.08984375,0.80078125,0.435546875,25249,4428.619201,64
20231103_123054,0,0.130859375,0.23828125,0.529296875,0.576171875,37373,6555.1422,50
20231103_123246,0,0.1328125,0.244140625,0.5234375,0.583984375,36593,6401.413738,50
20231103_123246,3,0.5,0.076171875,0.783203125,0.419921875,24695,4320.031489,64
20231103_123246,21,0.69921875,0.478515625,0.861328125,0.67578125,10358,1811.981622,52
20231103_123246,7,0.369140625,0.59765625,0.681640625,0.896484375,25311,4427.79174,63
20231103_123444,2,0.1875,0.04296875,0.560546875,0.34765625,24419,4552.232837,55
20231103_123444,3,0.5625,0.1015625,0.82421875,0.431640625,22909,4270.735987,64
20231103_123444,0,0.029296875,0.3125,0.427734375,0.650390625,38116,7105.651616,50
20231103_123444,21,0.65625,0.47265625,0.837890625,0.66015625,10528,1962.648237,52
20231103_123444,7,0.3515625,0.603515625,0.666015625,0.89453125,24235,4517.931234,63
20231103_123546,2,0.220703125,0.103515625,0.568359375,0.40625,23241,4745.894066,55
20231103_123546,19,0.564453125,0.15625,0.857421875,0.423828125,20923,4272.550301,46
20231103_123546,0,0.033203125,0.380859375,0.42578125,0.71484375,36859,7526.737635,50
20231103_123546,21,0.650390625,0.525390625,0.828125,0.7109375,10240,2091.04407,52
20231103_123546,7,0.35546875,0.64453125,0.666015625,0.947265625,23719,4843.50335,63
20231103_124647,19,0.181640625,0.201171875,0.466796875,0.47265625,15982,3065.502099,27
20231103_124647,21,0.474609375,0.111328125,0.623046875,0.283203125,7879,1511.268367,24
20231103_124647,7,0.625,0.259765625,0.916015625,0.513671875,20230,3880.309565,36
20231103_124647,2,0.23828125,0.501953125,0.43359375,0.794921875,12548,2406.827702,25
20231103_124647,0,0.453125,0.595703125,0.75390625,0.828125,17559,3367.985944,27
20231103_124815,2,0.22265625,0.177734375,0.501953125,0.388671875,12087,2162.90554,25
20231103_124815,0,0.173828125,0.39453125,0.3984375,0.697265625,17423,3117.75488,27
20231103_124815,19,0.53515625,0.16015625,0.79296875,0.4296875,15145,2710.118674,27
20231103_124815,3,0.4296875,0.560546875,0.677734375,0.87890625,18672,3341.256908,40
20231103_124914,0,0.2890625,0.150390625,0.58984375,0.37890625,17547,3201.448091,27
20231103_124914,3,0.57421875,0.40625,0.88671875,0.658203125,18663,3405.06216,40
