image_name,object_id,x_center,y_center,width,height,image_area,area,mass
20231103_115922,3,0.5078125,0.083984375,0.845703125,0.5,33923,5454.48511275766,60
20231103_122808,0,0.099609375,0.220703125,0.45703125,0.546875,32178,6825.50477859324,50
20231103_123054,3,0.51171875,0.08984375,0.80078125,0.435546875,25249,4428.61920114721,64
20231103_123054,0,0.130859375,0.23828125,0.529296875,0.576171875,37373,6555.14219986829,50
20231103_123246,0,0.1328125,0.244140625,0.5234375,0.583984375,36593,6401.41373818949,50
20231103_123246,3,0.5,0.076171875,0.783203125,0.419921875,24695,4320.03148866148,64
20231103_123246,21,0.69921875,0.478515625,0.861328125,0.67578125,10358,1811.98162217273,52
20231103_123246,7,0.369140625,0.59765625,0.681640625,0.896484375,25311,4427.79173960359,63
20231103_123444,2,0.1875,0.04296875,0.560546875,0.34765625,24419,4552.23283720279,55
20231103_123444,3,0.5625,0.1015625,0.82421875,0.431640625,22909,4270.73598703791,64
20231103_123444,0,0.029296875,0.3125,0.427734375,0.650390625,38116,7105.65161647985,50
20231103_123444,21,0.65625,0.47265625,0.837890625,0.66015625,10528,1962.64823744097,52
20231103_123444,7,0.3515625,0.603515625,0.666015625,0.89453125,24235,4517.93123426879,63
20231103_123546,2,0.220703125,0.103515625,0.568359375,0.40625,23241,4745.89406603522,55
20231103_123546,19,0.564453125,0.15625,0.857421875,0.423828125,20923,4272.55030091885,46
20231103_123546,0,0.033203125,0.380859375,0.42578125,0.71484375,36859,7526.7376352133,50
20231103_123546,21,0.650390625,0.525390625,0.828125,0.7109375,10240,2091.04407022937,52
20231103_123546,7,0.35546875,0.64453125,0.666015625,0.947265625,23719,4843.50334978226,63
20231103_124647,19,0.181640625,0.201171875,0.466796875,0.47265625,15982,3065.50209915267,27
20231103_124647,21,0.474609375,0.111328125,0.623046875,0.283203125,7879,1511.26836686421,24
20231103_124647,7,0.625,0.259765625,0.916015625,0.513671875,20230,3880.30956487664,36
20231103_124647,2,0.23828125,0.501953125,0.43359375,0.794921875,12548,2406.82770242571,25
20231103_124647,0,0.453125,0.595703125,0.75390625,0.828125,17559,3367.985944126,27
20231103_124815,2,0.22265625,0.177734375,0.501953125,0.388671875,12087,2162.90554036597,25
20231103_124815,0,0.173828125,0.39453125,0.3984375,0.697265625,17423,3117.75487960588,27
20231103_124815,19,0.53515625,0.16015625,0.79296875,0.4296875,15145,2710.11867368599,27
20231103_124815,3,0.4296875,0.560546875,0.677734375,0.87890625,18672,3341.25690822482,40
20231103_124914,0,0.2890625,0.150390625,0.58984375,0.37890625,17547,3201.44809052896,27
20231103_124914,3,0.57421875,0.40625,0.88671875,0.658203125,18663,3405.06215954534,40
20231103_124957,0,0.31640625,0.162109375,0.609375,0.384765625,16803,3178.19830764072,27
20231103_124957,19,0.1640625,0.47265625,0.451171875,0.673828125,16201,3064.33320133829,27
20231103_124957,3,0.59375,0.4296875,0.8984375,0.685546875,18540,3506.74264260305,40
20231103_125103,0,0.23828125,0.1484375,0.537109375,0.375,16819,3096.28901389834,27
20231103_125103,21,0.55859375,0.59375,0.69921875,0.755859375,7537,1387.52186799166,24
20231106_114439,18,0.162109375,0.173828125,0.3984375,0.34765625,10903,2018.38236215242,24
20231106_114439,0,0.1171875,0.404296875,0.505859375,0.775390625,40424,7483.36133244513,58
20231106_114439,3,0.51171875,0.44921875,0.904296875,0.8515625,38388,7106.45346402889,81
20231106_114605,18,0.16015625,0.20703125,0.3984375,0.37890625,11116,1958.78145549433,24
20231106_114605,19,0.453125,0.111328125,0.7421875,0.3828125,17220,3034.38437060204,32
20231106_114605,0,0.142578125,0.4140625,0.53515625,0.802734375,41786,7363.22795063745,58
20231106_114605,3,0.541015625,0.4453125,0.9375,0.837890625,38839,6843.92883680677,81
20231106_115308,18,0.048828125,0.265625,0.380859375,0.671875,36825,8563.93616301667,24
20231106_115308,11,0.416015625,0.375,0.775390625,0.935546875,54724,12726.4858814643,999
20231106_115600,18,0.16796875,0.220703125,0.3984375,0.38671875,10343,1954.2349771948,24
20231106_115600,19,0.453125,0.1328125,0.734375,0.3984375,16458,3109.61996081137,32
